seed_ID,ep_reward_pw1,ep_reward_pw2,ep_reward_pw3,ep_reward_pw4,ep_reward_pw5
40,-1019.0983653900923,-1426.2031113900293,-1326.2015605601516,-1223.2842532523578,-351.56992873541515
41,-821.0803193712734,-1318.4875148870894,-1104.109895561254,-1049.467361076616,-333.7370851293432
42,-829.9906906444621,-1181.0185699380422,-1336.2038450374575,-904.3973892386952,-364.1589807689792
43,-797.5336278545198,-1144.9362609061113,-1234.4005937301754,-1335.2022519562813,-550.54190159004
44,-981.3300733977017,-1041.3835440974199,-1348.1471548941242,-1039.836174701974,-434.52121656246277
45,-985.902663930286,-2311.3530015155357,-1416.102158532484,-1442.512045149148,-432.0111776184931
46,-996.0240341797409,-1477.0814618847112,-1304.485832164122,-1166.5613536769042,-416.23286404428984
47,-1069.3541587347775,-1215.0095904408417,-1419.8718304446634,-1062.7652462020822,-394.40129118101436
48,-1018.3449353776994,-1255.1568044833593,-1091.328274495192,-1030.6283731166477,-242.5841502496416
49,-1042.5039744799628,-945.8164275243187,-1312.4853683486435,-1254.906326400227,-359.64734468866186
50,-1391.6333531827668,-1120.5897912108794,-1806.1782171891477,-774.2324381985181,-368.1945066036074
51,-806.4663070992981,-1256.8338861975626,-1171.7038127406877,-1234.4596666743792,-444.48470266404826
52,-1194.749174507686,-1071.1696327654417,-1223.805582595897,-884.8064796078896,-478.0704580651004
53,-615.8144227032212,-1345.5759520229874,-985.470503587667,-1057.916280329374,-350.7816590236813
54,-782.0528652288186,-1078.8218067609166,-1192.661732046126,-874.2465134811296,-306.62720517653145
55,-633.9868351104456,-1434.4475967358521,-933.932986667876,-1212.1517814708568,-482.5267953249232
56,-752.6939315102732,-951.2952161750393,-1116.191476519386,-765.5326519044892,-288.2151755607984
57,-790.2149862760492,-1533.7845098935982,-1073.4998465853462,-1410.5572602194272,-415.2479171743406
58,-1236.642859878145,-1073.0938642580904,-1703.2712101204986,-1249.2000359540143,-723.7518341987972
59,-795.9123622648528,-1221.0326677789676,-1211.6673502964563,-1314.913743175342,-454.02132111627714
60,-785.4289015371726,-1380.9292680958524,-884.1561084631446,-1030.0605579723708,-363.64932475935075
61,-831.3892462476749,-1407.692232621314,-1182.1521146818181,-1113.19191625047,-524.2568320768744
62,-1261.4473236543568,-1195.5700376546142,-1525.2492799116499,-902.5560000315818,-705.8454357219606
63,-743.0588697555702,-939.9768104980003,-1100.6452528757143,-746.0216860975486,-224.36387261956452
64,-985.0559073201493,-1239.0276641444907,-1350.2884949524473,-1008.9036154456908,-319.72967474621424
